Tier,LeadID,Name,Company,Role,PersonaType,EmailTemplate,ContactChannel,ContactInfo,Notes,Status (not/yet/contacted/replied/closed),FollowUpDate,Response
HOT,1,Sami Al-Qenaei,Q8host,Founder & CEO,Kuwait Market,Template B,LinkedIn,/in/sami-alqenaei,"'Q8' already in brand name – perfect fit for communiq8",not yet,,
HOT,2,Stewart Butterfield,Slack (Salesforce),Co-Founder (former CEO),Communication Brand,Template A,Twitter,@stewart,"Built Slack – the definitive communication platform. Side-project potential.",not yet,,
HOT,3,Amir Salihefendic,Doist (Todoist/Twist),CEO & Founder,Communication Brand,Template A,Twitter,@amix3k,"Built Twist (async comms) – direct competitor space",not yet,,
HOT,8,Bassam Al-Shammari,Zain Telecom Kuwait,CEO,Kuwait Market,Template B,LinkedIn,/in/bassam-alshammari,"Major Kuwait telecom – natural buyer for comms domain",not yet,,
HOT,10,Ali Al-Hasawi,Al Hasawi Group,Chairman,Kuwait Market,Template B,LinkedIn,/in/ali-alhasawi,"Kuwaiti conglomerate – premium asset buyer profile",not yet,,
HOT,18,Mishari Al-Mutairi,KIPCO,Executive Director,Kuwait Market,Template B,LinkedIn,/in/mishari-al-mutairi,"Media & telecom holdings – directly relevant",not yet,,
HOT,44,David Sacks,Craft Ventures / Yammer,General Partner,Communication Brand,Template A,Twitter,@davidsacks,"Co-founded Yammer (enterprise social). VC in comms space.",not yet,,
HOT,47,Matt Mullenweg,Automattic (WordPress/Tumblr),CEO & Founder,Communication Brand,Template A,Twitter,@photomatt,"Built publishing & community empire. Buys premium domains.",not yet,,
HOT,35,Kevin Systrom,Instagram / Artifact,Co-Founder,Communication Brand,Template A,Twitter,@kevin,"Built Instagram & Artifact. Next project? Needs a domain.",not yet,,
HOT,57,Sam Altman,OpenAI / Worldcoin,CEO,Communication Brand,Template A,Twitter,@sama,"Worldcoin is community+identity. Known domain buyer.",not yet,,
WARM,4,Sachin Gupta,Hike,Founder & CEO,Communication Brand,Template A,LinkedIn,/in/sachingupta,"100M+ messaging app. Web3 pivot. Could need rebrand.",not yet,,
WARM,7,Brian Armstrong,Coinbase,Co-Founder & CEO,Communication Brand,Template A,Twitter,@brian_armstrong,"Coinbase has community arm. Acquires premium domains.",not yet,,
WARM,11,Daniel Ek,Spotify,Co-Founder & CEO,Communication Brand,Template A,Twitter,@eldsjal,"Expanding social features (Jam, podcasts).",not yet,,
WARM,13,Cal Henderson,Slack (Salesforce),CTO & Co-Founder,Communication Brand,Template A,Twitter,@iamcal,"Co-founded Slack. Personal project potential.",not yet,,
WARM,15,Ben Rubin,Houseparty (Epic Games),Founder,Communication Brand,Template A,Twitter,@benrubin,"Built social video comms. Understands domain value.",not yet,,
WARM,17,Tina He,Lunchclub,Co-Founder & CEO,Communication Brand,Template A,LinkedIn,/in/tinahe,"AI networking – community & comms core to product.",not yet,,
WARM,19,Megan Cummins,Discourse,Director of Operations,Communication Brand,Template A,LinkedIn,/in/megancummins,"Leading open source community platform.",not yet,,
WARM,23,Li Jin,Atelier Ventures,Founder & VC,Communication Brand,Template A,Twitter,@ljin18,"Creator economy investor. 'Communiq8' fits thesis.",not yet,,
WARM,25,Theo Priestley,Community Labs / Web3,Founder,Communication Brand,Template A,Twitter,@tpriestley,"Web3 community builder. Covers both comms+community.",not yet,,
